OG	OA	OE	OM	TeG	TeP1	TeP2	TeP3	TeP4	TeP5	TeMFC	TeMFT	TeMFA	TeMFM	TaG	TaMFC	TaMFT	TaMFA	TaMFM
0.31	0.48	0.27	0.19	10.38	23.99	11.31	5.95	4.69	2.02	3.50	6.20	21.53	10.30	0.87	0.33	0.62	2.13	0.39
0.26	0.46	0.19	0.14	13.09	25.96	15.99	7.69	6.73	2.14	3.61	9.67	22.05	17.04	1.08	0.35	1.00	2.23	0.72
0.26	0.46	0.18	0.14	16.46	46.36	16.39	9.66	7.61	2.75	3.31	11.57	33.68	17.29	1.42	0.32	1.19	3.42	0.75
0.29	0.49	0.21	0.18	10.23	20.54	12.67	7.63	5.99	2.25	3.13	7.68	18.63	11.48	0.84	0.30	0.76	1.83	0.48
0.30	0.47	0.26	0.17	12.83	21.38	14.71	10.64	8.73	2.10	3.28	16.70	18.31	13.04	1.09	0.31	1.70	1.82	0.51
0.30	0.48	0.25	0.18	10.55	27.20	10.64	7.05	5.08	1.68	3.36	7.42	22.84	8.58	0.92	0.33	0.74	2.26	0.34
0.30	0.46	0.29	0.16	11.24	21.88	15.69	7.60	4.97	1.90	4.10	7.13	23.97	9.75	0.97	0.39	0.73	2.39	0.36
0.27	0.46	0.20	0.14	11.57	25.08	13.78	7.42	6.48	2.15	3.09	8.71	21.02	13.47	0.97	0.31	0.90	2.13	0.57
0.32	0.49	0.27	0.19	10.62	20.93	12.01	7.50	5.42	1.88	2.84	9.82	18.43	11.41	0.86	0.26	0.96	1.77	0.44
0.29	0.47	0.24	0.16	11.42	28.67	14.77	7.69	5.29	2.15	3.50	6.17	25.83	10.20	0.99	0.33	0.64	2.57	0.42
0.24	0.45	0.15	0.14	16.47	38.77	17.88	9.85	6.38	2.25	3.12	12.32	29.32	21.09	1.39	0.31	1.29	3.03	0.95
0.27	0.45	0.25	0.11	11.13	23.96	13.53	7.04	5.03	2.31	3.11	6.54	23.86	11.00	0.98	0.31	0.70	2.47	0.44
0.34	0.49	0.31	0.21	7.34	12.56	8.49	4.87	3.86	2.13	2.93	4.53	14.31	7.60	0.58	0.27	0.44	1.33	0.27
0.28	0.46	0.22	0.17	12.97	27.72	14.80	9.11	6.88	2.32	3.46	11.80	22.58	14.02	1.09	0.34	1.19	2.26	0.58
0.27	0.45	0.24	0.13	14.44	45.45	14.76	8.54	5.78	2.27	3.85	8.34	34.50	11.08	1.31	0.38	0.87	3.53	0.45
0.30	0.46	0.29	0.16	9.49	25.81	10.38	6.19	4.96	2.21	3.69	4.52	22.33	7.42	0.84	0.36	0.48	2.24	0.27
0.30	0.48	0.25	0.17	11.81	32.93	12.72	8.02	5.80	1.79	2.87	9.53	24.14	10.70	1.01	0.28	0.95	2.39	0.42
0.27	0.43	0.23	0.13	15.31	43.74	18.28	9.06	7.38	2.38	3.88	12.00	31.25	14.12	1.37	0.39	1.26	3.23	0.58
0.29	0.47	0.24	0.16	11.21	26.68	13.91	6.94	4.95	2.16	2.98	6.18	22.77	12.92	0.93	0.28	0.64	2.26	0.53
0.32	0.49	0.29	0.19	8.43	17.28	9.89	6.02	4.45	2.16	3.24	5.73	17.12	7.62	0.69	0.31	0.56	1.62	0.29
0.30	0.47	0.25	0.17	14.50	34.77	16.15	7.27	5.42	2.43	3.29	7.61	24.97	22.14	1.12	0.31	0.78	2.50	0.88
0.31	0.48	0.25	0.21	9.86	19.99	9.56	6.27	5.18	2.01	3.34	6.88	15.97	13.26	0.76	0.32	0.67	1.53	0.54
0.29	0.47	0.23	0.15	9.90	22.88	11.96	6.88	5.68	2.24	3.45	6.61	20.28	9.27	0.84	0.33	0.67	1.98	0.39
0.31	0.48	0.28	0.17	7.83	15.74	9.22	4.85	4.03	1.92	2.97	4.36	16.38	7.60	0.65	0.28	0.43	1.60	0.29
0.29	0.47	0.26	0.14	11.28	31.50	13.49	7.42	5.33	1.94	3.60	5.86	29.34	6.30	1.04	0.35	0.60	2.95	0.25
0.28	0.46	0.23	0.15	10.34	23.03	11.87	7.29	5.18	2.22	3.07	8.25	20.43	9.63	0.89	0.29	0.85	2.03	0.40
0.28	0.46	0.22	0.15	12.68	27.93	14.61	8.87	6.81	2.33	3.08	11.82	24.99	10.83	1.13	0.30	1.22	2.53	0.45
0.25	0.45	0.18	0.12	18.52	54.22	19.91	11.50	9.87	2.40	3.63	17.62	38.26	14.59	1.71	0.37	1.86	4.00	0.63
0.29	0.47	0.22	0.18	11.22	21.18	13.77	6.81	5.59	2.22	3.10	7.35	19.95	14.48	0.91	0.30	0.75	1.98	0.60
0.27	0.46	0.21	0.13	23.06	90.47	20.26	9.31	7.42	2.70	4.45	10.29	54.88	22.61	2.00	0.44	1.05	5.60	0.91
0.26	0.45	0.22	0.11	14.03	38.96	16.89	8.94	6.07	2.34	3.52	10.01	31.00	11.61	1.27	0.35	1.05	3.19	0.48
0.28	0.45	0.24	0.15	10.55	24.99	12.85	5.95	5.07	2.01	3.63	5.50	22.98	10.09	0.92	0.36	0.59	2.33	0.42
0.30	0.47	0.26	0.16	12.08	33.81	14.21	5.93	5.64	2.11	3.59	6.69	29.23	8.84	1.09	0.35	0.70	2.95	0.36
