OG	OA	OE	OM	TeG	TeP1	TeP2	TeP3	TeP4	TeP5	TeMFC	TeMFT	TeMFA	TeMFM	TaG	TaMFC	TaMFT	TaMFA	TaMFM
0.55	0.47	0.61	0.58	0.97	1.03	1.04	0.97	1.05	0.59	2.95	0.24	0.43	0.29	0.09	0.29	0.03	0.05	0.01
0.54	0.45	0.61	0.56	1.04	1.15	1.09	1.11	1.06	0.61	3.36	0.20	0.40	0.22	0.10	0.33	0.02	0.05	0.01
0.55	0.47	0.61	0.58	1.07	1.15	1.02	1.18	1.17	0.64	3.34	0.24	0.41	0.27	0.10	0.33	0.03	0.05	0.01
0.55	0.46	0.62	0.58	1.02	1.05	1.12	1.15	0.99	0.56	3.36	0.13	0.39	0.20	0.10	0.33	0.01	0.04	0.01
0.55	0.47	0.61	0.58	0.94	0.92	0.99	0.99	1.05	0.59	3.00	0.16	0.39	0.22	0.09	0.29	0.02	0.05	0.01
0.55	0.46	0.60	0.57	1.04	1.10	1.13	1.09	1.15	0.61	3.35	0.15	0.44	0.23	0.10	0.33	0.02	0.05	0.01
0.56	0.47	0.62	0.58	1.02	1.07	1.07	1.09	1.14	0.56	3.27	0.14	0.44	0.24	0.10	0.31	0.02	0.05	0.01
0.55	0.46	0.61	0.57	1.01	1.07	1.15	1.06	1.06	0.57	3.30	0.15	0.42	0.18	0.10	0.33	0.02	0.05	0.01
0.56	0.47	0.62	0.58	0.97	1.12	1.07	1.00	1.04	0.59	3.27	0.12	0.36	0.14	0.09	0.31	0.01	0.04	0.01
0.56	0.47	0.62	0.58	1.07	1.26	1.12	1.11	1.15	0.58	3.34	0.17	0.44	0.31	0.10	0.33	0.02	0.05	0.01
0.55	0.46	0.61	0.58	1.11	1.13	1.20	1.21	1.06	0.64	3.54	0.18	0.43	0.28	0.11	0.34	0.02	0.05	0.01
0.55	0.46	0.61	0.57	1.00	1.07	1.10	1.07	0.99	0.59	3.19	0.16	0.42	0.25	0.10	0.31	0.02	0.05	0.01
0.56	0.47	0.62	0.58	1.02	0.98	1.08	1.08	1.04	0.66	3.18	0.18	0.44	0.27	0.10	0.30	0.02	0.05	0.01
0.55	0.46	0.61	0.58	1.06	1.00	1.17	1.12	1.29	0.59	3.58	0.15	0.38	0.13	0.10	0.35	0.02	0.04	0.01
0.56	0.48	0.61	0.59	0.97	0.99	1.05	1.04	1.01	0.61	3.10	0.16	0.41	0.22	0.09	0.29	0.02	0.05	0.01
0.56	0.48	0.61	0.58	0.94	0.96	0.99	0.97	1.03	0.56	2.94	0.17	0.40	0.22	0.09	0.28	0.02	0.05	0.01
0.55	0.47	0.60	0.58	1.03	1.04	1.15	1.07	1.17	0.57	3.39	0.12	0.40	0.21	0.10	0.33	0.01	0.04	0.01
0.55	0.46	0.61	0.58	1.05	1.12	1.09	1.15	1.01	0.65	3.29	0.19	0.44	0.27	0.10	0.32	0.02	0.05	0.01
