mean_idle_time	mean_idle_time-Attendant	mean_idle_time-Nurse	mean_idle_time-Doctor	mean_waiting_time	mean_waiting_time-1	mean_waiting_time-2	mean_waiting_time-3	mean_waiting_time-4	mean_waiting_time-5	mean_waiting_time-register_queue	mean_waiting_time-screening_queue	mean_waiting_time-consultation_queue	mean_waiting_time-exams_queue	mean_queue_len	mean_queue_len-register_queue	mean_queue_len-screening_queue	mean_queue_len-consultation_queue	mean_queue_len-exams_queue	max_waiting_time	max_waiting_time-1	max_waiting_time-2	max_waiting_time-3	max_waiting_time-4	max_waiting_time-5	max_waiting_time-register_queue	max_waiting_time-screening_queue	max_waiting_time-consultation_queue	max_waiting_time-exams_queue	max_queue_len	max_queue_len-register_queue	max_queue_len-screening_queue	max_queue_len-consultation_queue	max_queue_len-exams_queue
0.58	0.47	0.61	0.58	3.64	6.02	4.19	3.32	2.76	3.05	3.02	0.16	0.39	0.25	0.09	0.30	0.01	0.04	0.01	82.99	48.53	82.99	52.38	20.07	37.18	82.99	12.81	11.47	12.01	6	6	2	2	3
0.61	0.51	0.63	0.61	3.36	7.37	3.14	3.13	2.90	2.49	2.73	0.18	0.41	0.18	0.08	0.25	0.01	0.04	0.01	68.56	68.56	27.35	42.25	26.91	21.37	68.56	16.25	14.94	17.18	9	9	3	2	2
0.57	0.46	0.60	0.58	3.89	6.02	5.05	3.58	2.74	2.65	3.31	0.21	0.37	0.13	0.10	0.34	0.02	0.04	0.01	103.73	47.73	103.73	57.43	38.39	13.37	103.73	31.47	11.01	10.20	7	7	3	3	2
0.57	0.46	0.60	0.57	3.72	5.92	4.08	3.48	3.46	2.85	2.98	0.22	0.45	0.28	0.09	0.30	0.02	0.05	0.01	42.54	41.22	42.54	28.21	19.38	26.65	42.54	20.81	15.34	18.30	5	5	3	3	2
0.59	0.47	0.62	0.58	3.51	3.29	3.77	3.55	3.46	3.24	2.95	0.15	0.38	0.15	0.09	0.30	0.01	0.04	0.01	49.17	34.45	49.17	39.93	30.24	19.93	49.17	22.21	17.02	9.60	4	4	2	2	1
0.59	0.49	0.62	0.60	4.02	3.17	5.45	4.35	2.92	2.78	3.39	0.18	0.38	0.26	0.10	0.32	0.01	0.04	0.01	90.79	44.88	90.79	47.35	24.38	22.20	90.79	20.56	9.95	26.29	6	6	2	2	3
0.60	0.49	0.64	0.59	3.71	5.06	3.81	3.77	2.82	3.57	3.24	0.08	0.39	0.06	0.09	0.31	0.01	0.04	0.00	95.03	45.57	47.04	95.03	33.53	29.19	95.03	16.75	16.41	6.96	6	6	2	3	2
0.59	0.47	0.63	0.58	4.00	5.62	4.27	3.91	3.82	3.17	3.26	0.19	0.54	0.13	0.10	0.33	0.01	0.05	0.00	60.95	60.95	39.15	57.39	21.22	16.91	60.95	25.62	15.93	7.29	5	5	3	3	1
0.58	0.46	0.61	0.58	3.57	4.01	4.53	3.15	3.39	2.77	2.83	0.30	0.40	0.24	0.09	0.29	0.03	0.04	0.01	41.75	29.02	41.75	20.56	31.53	23.81	41.75	28.34	11.19	11.00	5	5	3	2	2
0.58	0.47	0.61	0.58	3.66	6.17	4.98	3.36	2.55	2.11	3.12	0.13	0.33	0.18	0.09	0.31	0.01	0.03	0.01	48.69	31.68	48.69	36.86	21.16	17.98	48.69	12.34	11.22	19.90	6	6	2	3	2
