OG	OA	OE	OM	TeG	TeP1	TeP2	TeP3	TeP4	TeP5	TeMFC	TeMFT	TeMFA	TeMFM	TaG	TaMFC	TaMFT	TaMFA	TaMFM
0.58	0.48	0.61	0.58	3.79	4.70	3.91	3.54	5.04	2.58	3.02	0.24	0.44	0.23	0.09	0.29	0.03	0.05	0.01
0.58	0.46	0.61	0.56	5.00	6.51	6.19	4.91	5.85	2.56	4.05	0.27	0.56	0.32	0.13	0.39	0.03	0.07	0.01
0.56	0.45	0.59	0.56	3.76	3.78	4.27	4.18	3.89	2.35	3.09	0.15	0.45	0.16	0.10	0.31	0.02	0.05	0.01
0.58	0.46	0.61	0.57	5.66	7.34	6.93	5.80	6.50	2.54	4.49	0.42	0.53	0.53	0.14	0.44	0.04	0.06	0.02
0.56	0.46	0.59	0.57	4.61	6.10	4.78	4.92	5.24	2.72	3.64	0.28	0.55	0.34	0.12	0.37	0.03	0.06	0.02
0.58	0.48	0.60	0.59	4.50	3.92	5.28	5.13	5.01	2.55	3.65	0.24	0.50	0.26	0.11	0.34	0.03	0.05	0.01
0.59	0.49	0.61	0.60	3.49	4.99	4.02	3.16	3.98	2.08	2.82	0.19	0.28	0.47	0.09	0.27	0.02	0.03	0.02
0.56	0.45	0.59	0.57	4.23	4.49	4.84	4.34	5.09	2.57	3.57	0.14	0.45	0.15	0.11	0.36	0.02	0.05	0.01
0.60	0.49	0.63	0.58	3.34	4.15	3.14	3.96	3.42	2.10	2.74	0.07	0.46	0.17	0.08	0.26	0.01	0.05	0.00
0.57	0.45	0.60	0.57	5.02	5.05	5.77	6.26	4.95	2.47	3.99	0.32	0.58	0.33	0.13	0.40	0.03	0.06	0.01
0.58	0.46	0.61	0.57	3.95	4.05	3.24	4.95	4.42	2.73	3.11	0.20	0.53	0.29	0.10	0.31	0.02	0.06	0.01
0.60	0.47	0.64	0.58	3.80	3.19	4.54	3.90	4.61	2.59	3.19	0.08	0.47	0.18	0.09	0.31	0.01	0.05	0.01
0.59	0.47	0.63	0.58	3.37	4.02	3.78	3.88	2.88	2.11	2.72	0.18	0.39	0.20	0.09	0.27	0.02	0.05	0.01
0.60	0.48	0.63	0.59	3.81	3.64	4.47	4.16	4.55	2.09	3.05	0.28	0.39	0.25	0.09	0.29	0.03	0.05	0.01
0.60	0.46	0.64	0.59	4.45	5.41	4.52	5.10	4.80	2.61	3.79	0.18	0.42	0.18	0.11	0.37	0.02	0.05	0.01
0.55	0.43	0.58	0.55	4.86	5.23	6.78	4.77	4.64	2.76	3.62	0.45	0.56	0.54	0.13	0.37	0.05	0.07	0.03
0.58	0.47	0.62	0.57	3.43	2.89	4.44	3.74	2.87	2.34	2.71	0.11	0.51	0.22	0.09	0.26	0.01	0.06	0.01
0.58	0.46	0.61	0.58	4.17	5.23	4.59	4.51	3.85	2.69	3.40	0.20	0.50	0.19	0.10	0.33	0.02	0.06	0.01
0.57	0.45	0.61	0.55	4.39	5.64	4.56	5.04	4.37	2.71	3.45	0.18	0.64	0.31	0.11	0.35	0.02	0.07	0.01
0.58	0.45	0.61	0.58	4.25	4.68	5.32	4.30	3.96	2.83	3.36	0.22	0.42	0.60	0.11	0.33	0.03	0.05	0.02
0.57	0.48	0.59	0.58	3.52	4.10	3.88	3.82	4.12	2.16	2.75	0.18	0.43	0.34	0.09	0.27	0.02	0.05	0.01
0.57	0.47	0.59	0.57	4.83	4.92	5.27	5.56	5.56	2.24	4.01	0.24	0.43	0.34	0.12	0.39	0.03	0.05	0.02
0.57	0.44	0.60	0.55	4.53	3.99	5.22	4.97	5.23	2.69	3.46	0.29	0.60	0.44	0.12	0.36	0.03	0.07	0.02
0.59	0.48	0.63	0.58	3.74	4.06	4.09	4.12	3.71	2.59	3.13	0.14	0.40	0.14	0.09	0.30	0.01	0.05	0.01
0.59	0.48	0.61	0.58	4.04	4.61	5.01	4.29	4.23	1.92	3.22	0.22	0.51	0.20	0.10	0.31	0.03	0.06	0.01
0.59	0.48	0.62	0.58	3.77	4.16	4.02	3.96	4.16	2.72	3.25	0.08	0.33	0.26	0.09	0.31	0.01	0.04	0.01
0.58	0.46	0.61	0.58	4.24	4.53	4.52	4.88	4.76	2.22	3.62	0.16	0.38	0.21	0.11	0.35	0.02	0.05	0.01
0.58	0.46	0.60	0.58	4.15	4.73	4.70	4.71	4.32	2.26	3.55	0.19	0.35	0.14	0.11	0.35	0.02	0.04	0.01
0.59	0.48	0.62	0.59	3.79	3.95	4.08	4.57	3.97	2.23	3.31	0.16	0.24	0.20	0.09	0.31	0.02	0.03	0.01
0.55	0.43	0.58	0.55	5.35	5.62	5.56	6.53	6.00	2.91	4.45	0.27	0.48	0.37	0.14	0.46	0.03	0.06	0.02
0.58	0.48	0.61	0.59	3.32	4.08	3.36	3.60	3.48	2.35	2.78	0.13	0.37	0.11	0.08	0.26	0.01	0.04	0.01
0.56	0.45	0.59	0.56	4.59	5.38	4.47	5.32	5.24	2.71	3.68	0.25	0.48	0.43	0.11	0.36	0.03	0.05	0.02
0.57	0.46	0.60	0.58	4.63	5.69	5.05	5.35	4.57	2.55	3.65	0.41	0.48	0.22	0.12	0.36	0.04	0.05	0.01
0.57	0.44	0.61	0.56	3.45	3.43	3.66	3.89	3.82	2.24	2.82	0.12	0.45	0.17	0.09	0.30	0.02	0.05	0.01
0.58	0.47	0.62	0.57	3.49	3.26	4.20	3.90	3.54	1.92	2.91	0.09	0.40	0.23	0.09	0.29	0.01	0.05	0.01
0.58	0.47	0.61	0.59	3.65	4.08	3.37	4.21	4.14	2.50	2.90	0.24	0.38	0.30	0.09	0.29	0.03	0.04	0.01
0.58	0.46	0.62	0.57	4.10	5.24	4.31	4.25	4.88	2.56	3.59	0.05	0.42	0.12	0.11	0.36	0.01	0.05	0.00
0.58	0.45	0.62	0.57	4.17	4.26	3.91	4.84	5.13	2.57	3.60	0.06	0.41	0.25	0.11	0.36	0.01	0.05	0.01
0.59	0.47	0.62	0.58	4.11	4.03	5.10	4.47	4.09	2.38	3.45	0.18	0.42	0.14	0.11	0.34	0.02	0.05	0.01
0.58	0.48	0.61	0.59	3.87	4.15	4.44	4.40	4.43	1.79	3.09	0.21	0.41	0.37	0.09	0.30	0.02	0.05	0.01
0.59	0.46	0.62	0.58	4.02	3.50	4.53	4.69	4.25	2.36	3.48	0.08	0.40	0.16	0.10	0.34	0.01	0.04	0.01
0.60	0.48	0.63	0.60	3.33	3.78	3.90	3.68	2.71	2.01	2.84	0.13	0.26	0.25	0.08	0.28	0.01	0.03	0.01
0.58	0.46	0.61	0.58	4.08	3.67	4.59	4.57	4.82	2.44	3.16	0.28	0.51	0.35	0.10	0.31	0.03	0.06	0.01
0.60	0.48	0.63	0.59	3.18	3.70	3.17	3.58	3.55	2.06	2.62	0.08	0.39	0.24	0.08	0.25	0.01	0.04	0.01
0.56	0.44	0.60	0.55	4.73	4.80	4.97	5.60	5.21	3.05	3.96	0.13	0.52	0.31	0.13	0.40	0.02	0.07	0.01
0.60	0.48	0.64	0.59	3.75	4.00	4.25	4.69	3.77	1.99	3.04	0.19	0.41	0.31	0.09	0.29	0.02	0.04	0.01
0.59	0.48	0.61	0.59	3.74	4.53	3.60	3.65	4.98	2.67	2.90	0.26	0.39	0.44	0.09	0.26	0.02	0.04	0.02
0.56	0.43	0.59	0.55	4.35	4.91	5.37	4.72	3.78	2.59	3.65	0.21	0.38	0.28	0.11	0.37	0.02	0.05	0.01
0.57	0.47	0.59	0.59	3.67	3.60	4.49	3.88	3.18	2.63	2.96	0.25	0.40	0.14	0.09	0.29	0.03	0.05	0.00
0.58	0.47	0.62	0.57	3.77	4.47	3.96	4.01	4.68	2.42	3.12	0.17	0.47	0.03	0.09	0.30	0.02	0.05	0.00
0.59	0.47	0.63	0.57	4.03	4.43	4.53	4.18	4.73	2.38	3.44	0.10	0.42	0.18	0.10	0.33	0.01	0.05	0.01
0.60	0.49	0.64	0.59	4.60	4.47	5.11	5.68	4.43	2.50	3.74	0.20	0.58	0.20	0.11	0.35	0.02	0.07	0.01
0.57	0.46	0.61	0.57	4.18	4.41	4.50	4.87	4.44	2.23	3.60	0.13	0.38	0.17	0.11	0.36	0.02	0.05	0.01
0.57	0.44	0.61	0.57	4.69	5.36	5.96	5.27	4.19	2.36	3.89	0.20	0.46	0.34	0.12	0.39	0.02	0.05	0.01
0.59	0.47	0.63	0.58	3.43	3.56	3.63	3.81	3.76	2.21	2.74	0.12	0.48	0.23	0.09	0.27	0.01	0.05	0.01
0.58	0.46	0.61	0.58	4.07	4.33	4.38	4.54	4.54	2.39	3.34	0.18	0.45	0.27	0.10	0.32	0.02	0.05	0.01
0.60	0.49	0.63	0.60	3.35	3.35	3.62	3.87	3.65	2.09	2.67	0.18	0.37	0.33	0.08	0.25	0.02	0.04	0.02
0.57	0.46	0.60	0.58	4.08	4.29	4.91	4.64	4.08	2.22	3.26	0.21	0.44	0.40	0.10	0.32	0.02	0.05	0.02
0.59	0.48	0.62	0.59	4.22	7.02	4.34	5.00	3.88	2.01	3.57	0.16	0.40	0.22	0.11	0.35	0.02	0.05	0.01
0.56	0.44	0.59	0.55	4.76	6.06	5.14	4.97	5.54	2.47	4.07	0.09	0.49	0.25	0.13	0.42	0.01	0.06	0.01
0.57	0.47	0.60	0.57	4.07	4.38	3.91	4.80	4.77	2.48	3.36	0.18	0.42	0.25	0.10	0.33	0.02	0.05	0.01
0.57	0.45	0.60	0.56	3.98	4.16	4.45	4.27	4.44	2.33	3.28	0.08	0.49	0.33	0.10	0.33	0.01	0.06	0.01
0.59	0.47	0.63	0.57	4.36	4.86	5.03	4.81	4.29	2.60	3.51	0.21	0.58	0.18	0.11	0.34	0.02	0.06	0.01
0.57	0.44	0.61	0.55	4.76	4.94	5.64	5.01	5.10	2.99	3.71	0.35	0.44	0.68	0.12	0.37	0.04	0.05	0.03
0.59	0.46	0.63	0.58	3.80	4.62	4.36	3.79	3.77	2.63	2.81	0.29	0.57	0.35	0.09	0.27	0.03	0.06	0.01
0.56	0.45	0.59	0.56	4.07	4.19	4.22	4.77	4.49	2.62	3.46	0.15	0.34	0.30	0.10	0.35	0.02	0.04	0.01
0.61	0.48	0.64	0.59	3.49	3.92	3.11	4.19	4.09	2.23	2.99	0.09	0.35	0.16	0.08	0.28	0.01	0.03	0.01
0.58	0.48	0.61	0.58	3.74	4.25	4.68	3.80	3.50	2.30	3.14	0.14	0.36	0.21	0.09	0.30	0.02	0.04	0.01
0.58	0.45	0.61	0.58	4.02	3.19	4.49	4.69	4.41	2.24	3.43	0.14	0.36	0.24	0.10	0.34	0.02	0.04	0.01
0.60	0.49	0.63	0.59	3.38	5.04	3.98	3.19	3.87	1.75	2.83	0.12	0.35	0.20	0.08	0.26	0.01	0.04	0.01
0.57	0.45	0.60	0.57	3.92	4.34	4.30	4.28	4.94	1.85	3.26	0.26	0.27	0.30	0.10	0.31	0.03	0.03	0.01
0.59	0.47	0.62	0.59	4.73	5.89	5.73	4.55	5.95	2.66	3.95	0.23	0.45	0.24	0.12	0.38	0.03	0.05	0.01
0.57	0.45	0.61	0.56	3.82	4.65	4.10	4.08	3.99	2.27	3.28	0.08	0.41	0.14	0.10	0.33	0.01	0.06	0.01
0.60	0.48	0.63	0.59	4.42	6.44	4.59	4.55	5.00	2.40	3.80	0.15	0.37	0.26	0.11	0.37	0.02	0.04	0.01
0.58	0.45	0.62	0.57	4.43	5.64	4.42	5.00	4.84	2.44	3.80	0.10	0.49	0.11	0.11	0.37	0.01	0.06	0.01
0.59	0.49	0.62	0.59	4.22	4.53	4.77	4.49	4.87	2.18	3.52	0.16	0.43	0.27	0.10	0.34	0.02	0.04	0.01
0.58	0.44	0.61	0.57	5.04	6.19	5.66	5.69	4.92	2.46	4.14	0.27	0.41	0.57	0.13	0.41	0.03	0.05	0.02
0.61	0.50	0.63	0.61	3.63	3.52	4.21	3.68	4.30	2.32	3.07	0.17	0.31	0.21	0.09	0.28	0.02	0.04	0.01
0.60	0.48	0.63	0.59	4.60	4.69	5.68	5.02	4.43	2.79	3.61	0.28	0.45	0.64	0.11	0.35	0.03	0.05	0.03
0.58	0.47	0.61	0.57	4.20	3.50	4.78	4.80	3.98	3.03	3.52	0.11	0.46	0.27	0.11	0.34	0.01	0.06	0.01
0.58	0.46	0.61	0.58	4.40	4.50	4.65	5.40	4.93	2.19	3.74	0.19	0.36	0.25	0.11	0.36	0.02	0.04	0.01
0.58	0.47	0.62	0.58	3.56	4.93	3.71	3.79	3.50	2.16	2.93	0.12	0.39	0.33	0.09	0.29	0.01	0.04	0.01
0.58	0.47	0.60	0.58	3.74	4.25	3.93	4.04	4.23	2.48	3.20	0.06	0.45	0.08	0.09	0.31	0.01	0.05	0.00
0.60	0.47	0.64	0.58	3.80	4.62	4.43	4.36	3.68	2.06	3.15	0.16	0.40	0.24	0.09	0.31	0.02	0.04	0.01
0.58	0.46	0.62	0.57	3.74	3.93	4.54	3.93	3.60	2.54	3.19	0.10	0.40	0.11	0.09	0.32	0.01	0.04	0.00
0.56	0.43	0.59	0.55	4.75	4.18	5.76	5.50	5.31	2.37	4.00	0.19	0.44	0.29	0.13	0.43	0.02	0.05	0.01
0.56	0.45	0.58	0.57	4.13	4.06	4.43	4.58	4.45	2.76	3.12	0.34	0.49	0.42	0.11	0.31	0.04	0.06	0.02
