OA	OE	OM	TeMFC	TeMFT	TeMFA	TeMFM	TaMFC	TaMFT	TaMFA	TaMFM
0.87	0.68	0.25	0.04	0.04	9.82	898.44	0.00	0.00	0.96	0.00
0.87	0.68	0.25	0.03	0.04	9.35	653.63	0.00	0.00	0.91	0.00
0.87	0.68	0.27	0.03	0.03	9.16	792.18	0.00	0.00	0.88	0.00
0.87	0.68	0.25	0.03	0.04	10.82	723.57	0.00	0.00	1.06	0.00
0.87	0.68	0.25	0.03	0.04	9.85	855.56	0.00	0.00	0.97	0.00
0.87	0.68	0.25	0.03	0.04	9.23	792.21	0.00	0.00	0.90	0.00
0.87	0.68	0.24	0.03	0.04	10.33	899.90	0.00	0.00	1.02	0.00
0.87	0.68	0.25	0.03	0.03	9.81	799.29	0.00	0.00	0.96	0.00
0.87	0.68	0.26	0.03	0.04	9.66	636.44	0.00	0.00	0.93	0.00
0.87	0.68	0.25	0.04	0.04	9.67	685.94	0.00	0.00	0.94	0.00
0.86	0.67	0.23	0.03	0.04	11.06	830.69	0.00	0.00	1.11	0.00
0.86	0.68	0.24	0.03	0.05	11.61	716.73	0.00	0.00	1.15	0.00
0.87	0.68	0.26	0.03	0.05	10.23	603.12	0.00	0.01	1.00	0.00
0.87	0.68	0.26	0.03	0.04	9.44	930.73	0.00	0.00	0.91	0.00
0.87	0.67	0.25	0.03	0.04	9.39	716.34	0.00	0.00	0.92	0.00
0.87	0.68	0.24	0.03	0.05	10.38	827.08	0.00	0.00	1.01	0.00
0.87	0.68	0.26	0.03	0.04	8.93	800.17	0.00	0.00	0.86	0.00
0.87	0.68	0.26	0.03	0.03	9.08	662.39	0.00	0.00	0.88	0.00
0.87	0.68	0.25	0.03	0.04	9.78	998.90	0.00	0.00	0.96	0.00
0.87	0.69	0.26	0.03	0.03	7.97	788.17	0.00	0.00	0.76	0.00
0.87	0.69	0.27	0.02	0.03	8.31	610.44	0.00	0.00	0.79	0.00
0.87	0.67	0.24	0.03	0.04	10.11	848.39	0.00	0.00	1.00	0.00
0.87	0.68	0.25	0.03	0.05	9.96	728.45	0.00	0.00	0.97	0.00
0.87	0.68	0.25	0.03	0.04	10.21	706.90	0.00	0.01	1.00	0.00
0.87	0.68	0.26	0.02	0.03	9.46	881.06	0.00	0.00	0.91	0.00
0.87	0.68	0.25	0.03	0.04	10.47	621.71	0.00	0.00	1.03	0.00
0.87	0.68	0.25	0.04	0.04	9.59	751.60	0.00	0.00	0.94	0.00
0.87	0.68	0.25	0.03	0.04	10.51	961.83	0.00	0.00	1.03	0.00
0.87	0.68	0.25	0.03	0.04	10.62	773.80	0.00	0.00	1.04	0.00
0.87	0.68	0.24	0.03	0.04	9.70	751.94	0.00	0.00	0.96	0.00
0.87	0.68	0.24	0.03	0.04	10.59	821.90	0.00	0.00	1.05	0.00
0.87	0.68	0.26	0.03	0.04	9.91	854.35	0.00	0.00	0.96	0.00
0.87	0.68	0.26	0.03	0.04	8.93	725.43	0.00	0.00	0.86	0.00
0.87	0.68	0.25	0.03	0.04	10.02	750.61	0.00	0.00	0.99	0.00
0.87	0.68	0.25	0.03	0.04	9.78	799.04	0.00	0.00	0.95	0.00
0.87	0.68	0.24	0.03	0.05	11.91	870.25	0.00	0.00	1.18	0.00
0.87	0.67	0.25	0.03	0.03	9.48	731.92	0.00	0.00	0.93	0.00
0.86	0.67	0.24	0.03	0.04	10.04	734.20	0.00	0.00	1.00	0.00
0.87	0.68	0.25	0.03	0.03	9.50	646.43	0.00	0.00	0.92	0.00
0.86	0.67	0.24	0.03	0.04	9.46	863.00	0.00	0.00	0.94	0.00
0.87	0.68	0.25	0.03	0.04	9.62	750.92	0.00	0.00	0.93	0.00
0.86	0.67	0.24	0.04	0.04	10.33	649.91	0.00	0.00	1.02	0.00
0.86	0.67	0.24	0.03	0.04	10.22	669.90	0.00	0.00	1.01	0.00
0.87	0.67	0.24	0.03	0.03	9.82	1043.20	0.00	0.00	0.98	0.00
0.87	0.68	0.25	0.03	0.04	9.89	704.55	0.00	0.00	0.96	0.00
0.87	0.68	0.24	0.03	0.04	9.82	909.84	0.00	0.00	0.97	0.00
0.87	0.68	0.25	0.03	0.04	10.39	951.31	0.00	0.00	1.02	0.00
0.87	0.68	0.25	0.03	0.04	9.04	778.67	0.00	0.00	0.87	0.00
0.86	0.67	0.24	0.04	0.04	9.39	858.62	0.00	0.00	0.93	0.00
0.86	0.68	0.24	0.04	0.03	10.73	818.76	0.00	0.00	1.07	0.00
0.87	0.68	0.26	0.03	0.04	9.29	967.28	0.00	0.00	0.90	0.00
0.87	0.69	0.26	0.03	0.04	9.68	677.25	0.00	0.00	0.94	0.00
0.87	0.68	0.26	0.03	0.04	8.64	693.92	0.00	0.00	0.83	0.00
0.87	0.68	0.25	0.03	0.03	10.09	770.25	0.00	0.00	0.98	0.00
0.87	0.68	0.26	0.03	0.04	9.33	839.48	0.00	0.00	0.90	0.00
0.87	0.68	0.25	0.03	0.04	10.50	724.70	0.00	0.00	1.03	0.00
0.87	0.68	0.25	0.03	0.03	9.90	784.09	0.00	0.00	0.97	0.00
0.87	0.68	0.25	0.03	0.04	9.83	995.01	0.00	0.00	0.96	0.00
0.87	0.68	0.25	0.03	0.04	9.62	532.05	0.00	0.00	0.94	0.00
0.87	0.68	0.25	0.03	0.04	10.05	803.37	0.00	0.00	0.98	0.00
0.87	0.68	0.24	0.03	0.04	12.40	830.92	0.00	0.00	1.23	0.00
0.87	0.68	0.25	0.03	0.03	9.08	585.40	0.00	0.00	0.88	0.00
0.86	0.68	0.24	0.04	0.04	10.41	795.02	0.00	0.00	1.03	0.00
0.87	0.68	0.25	0.03	0.04	9.99	831.72	0.00	0.00	0.98	0.00
0.86	0.67	0.23	0.03	0.05	11.07	908.83	0.00	0.00	1.11	0.00
0.87	0.68	0.25	0.03	0.04	10.34	614.43	0.00	0.00	1.01	0.00
0.87	0.69	0.27	0.03	0.04	9.25	782.34	0.00	0.00	0.88	0.00
0.87	0.68	0.26	0.03	0.03	9.04	766.66	0.00	0.00	0.87	0.00
0.87	0.67	0.24	0.03	0.05	10.99	869.05	0.00	0.00	1.09	0.00
0.86	0.67	0.24	0.03	0.04	10.66	870.20	0.00	0.00	1.06	0.00
0.86	0.68	0.24	0.03	0.04	9.78	896.74	0.00	0.00	0.97	0.00
0.87	0.67	0.24	0.03	0.04	9.78	1134.86	0.00	0.00	0.97	0.00
0.87	0.68	0.25	0.03	0.04	10.54	772.71	0.00	0.00	1.03	0.00
0.87	0.68	0.25	0.03	0.04	10.87	791.17	0.00	0.00	1.06	0.00
0.87	0.68	0.25	0.03	0.03	9.91	668.01	0.00	0.00	0.97	0.00
0.87	0.68	0.24	0.03	0.04	10.43	725.62	0.00	0.00	1.03	0.00
0.87	0.68	0.26	0.03	0.03	9.71	836.02	0.00	0.00	0.94	0.00
0.87	0.69	0.26	0.03	0.04	8.95	810.78	0.00	0.00	0.86	0.00
0.87	0.68	0.25	0.03	0.04	10.55	817.39	0.00	0.00	1.02	0.00
0.87	0.68	0.25	0.03	0.04	10.40	825.55	0.00	0.00	1.01	0.00
0.87	0.68	0.25	0.03	0.04	9.56	790.96	0.00	0.00	0.93	0.00
0.87	0.67	0.24	0.03	0.04	11.06	915.90	0.00	0.00	1.09	0.00
0.87	0.68	0.25	0.03	0.04	9.89	750.89	0.00	0.01	0.98	0.00
0.87	0.68	0.25	0.03	0.04	10.38	737.25	0.00	0.00	1.01	0.00
0.86	0.67	0.24	0.03	0.04	12.25	966.60	0.00	0.00	1.23	0.00
0.87	0.68	0.25	0.03	0.04	9.73	678.72	0.00	0.00	0.95	0.00
0.86	0.67	0.24	0.03	0.04	10.32	862.89	0.00	0.00	1.03	0.00
0.87	0.68	0.24	0.03	0.04	9.93	862.22	0.00	0.00	0.98	0.00
0.87	0.68	0.25	0.03	0.03	9.54	838.04	0.00	0.00	0.93	0.00
0.87	0.68	0.26	0.03	0.04	9.01	706.39	0.00	0.00	0.87	0.00
0.87	0.68	0.25	0.03	0.03	9.98	717.28	0.00	0.00	0.97	0.00
0.87	0.69	0.26	0.03	0.03	10.62	690.50	0.00	0.00	1.03	0.00
0.87	0.68	0.25	0.03	0.04	11.09	962.26	0.00	0.00	1.09	0.00
0.87	0.68	0.26	0.03	0.04	9.22	773.38	0.00	0.00	0.89	0.00
0.87	0.68	0.25	0.03	0.04	10.19	921.63	0.00	0.00	0.98	0.00
0.86	0.68	0.24	0.03	0.04	11.11	942.14	0.00	0.00	1.11	0.00
0.87	0.68	0.25	0.03	0.04	10.20	883.48	0.00	0.00	0.99	0.00
0.87	0.68	0.26	0.03	0.03	9.39	626.04	0.00	0.00	0.91	0.00
0.87	0.68	0.24	0.04	0.04	10.14	806.74	0.00	0.00	1.00	0.00
0.86	0.68	0.24	0.04	0.05	11.23	741.21	0.00	0.01	1.12	0.00
